Mods count: 222
 
                                     jar name                                      |    notes     |                mod id                |                 mod name                  |         mod version          |                                                                                                                                                                                                                                        mixin configs                                                                                                                                                                                                                                         |              modrinth hash               | curseforge hash
    /META-INF/jarjar/whitenoise-1.20.1-forge-1.1.1.jar                             |              | whitenoise                           | WhiteNoise                                | 1.1.1                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
BetterThirdPerson-Forge-1.20-1.9.0.jar                                             |              | betterthirdperson                    | Better Third Person                       | 1.9.0                        | betterthirdperson.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                | 0b0a3ff3b244fa191b3f9580547071dee46f7276 | 3277503590     
biomemusic-1.20.1-4.1.jar                                                          |              | biomemusic                           | biomemusic mod                            | 1.20.1-4.1                   | biomemusic.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | f802fa65812616761afd6a292c2b431955caec9d | 1226259636     
BiomeParticleWeather-v4.1.0-1.20.1-Forge.jar                                       |              | impactfulweather                     | Biome Particle Weather                    | 4.1.0                        | impactfulweather.common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                          | 52a1bba94f9bf32ebcdf244da7f8676b4dc0bc2b | 3553660243     
biomereplacer-2.1-hippo-forge.jar                                                  |              | biome_replacer                       | Biome Replacer                            | 2.1-hippo                    | biome_replacer.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | 382cb16421baa0a4f1e02bb44e64d1a0f4d40e0e | 1843209547     
BiomesOPlenty-forge-1.20.1-19.0.0.96.jar                                           |              | biomesoplenty                        | Biomes O' Plenty                          | 19.0.0.96                    | biomesoplenty.mixins.json, biomesoplenty.forge.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                   | 957adcd274e7c64853c93293976ecdd388a3b7fe | 1672303396     
biomespawnpoint-1.20.1-2.4.jar                                                     |              | biomespawnpoint                      | Biome Spawn Point                         | 2.4                          | biomespawnpoint_fabric.mixins.json, biomespawnpoint_forge.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                        | e30f052405e32f3fe7eac3b9966f35dfce302370 | 1070105882     
bloodybits-2.0.2-1.20.1.jar                                                        |              | bloodybits                           | CravenCraft's Bloody Bits                 | 2.0.2-1.20.1                 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | caae4bbe8f461335ba374a16ba8b0bbd38832dbf | 2486157084     
bloodybitsfix-1.0.1.jar                                                            |              | bloodybitsfix                        | Bloody Bits Fix                           | 1.0.0                        | mixins.bloodybitsfix.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | 8d7e5144e282136d144a7a8c46c9d9e0d2eede64 | 2982540510     
Bookshelf-Forge-1.20.1-20.2.15.jar                                                 |              | bookshelf                            | Bookshelf                                 | 20.2.15                      | bookshelf.forge.mixins.json, bookshelf.common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                    | 9df4908f606c6dc62a358b3e04e3fdedba59a12c | 4263061721     
butchery-5.2-forge-1.20.1.jar                                                      | MCreator mod | butchery                             | Butchery                                  | 5.2                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 183669e284fa3eda7d91cc23e36ba9c6f276b570 | 2041253668     
butchery_alexs_mobs-1.0.1-BETA-forge-1.20.1.jar                                    | MCreator mod | butchery_alexs_mobs                  | Butchery: Alexs Mobs                      | 1.0.1                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | e2ca465fbff43417692acb6ecac9c844141f9890 | 2358975903     
CameraOverhaul-v2.1.1-forge+mc[1.20-1.20.5].jar                                    |              | cameraoverhaul                       | CameraOverhaul                            | 2.1.1-forge+mc.1.20-1.20.5   | cameraoverhaul.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | 096d407a7d4ace0892deb610c686275048392d7d | 1958448128     
campsite_structures-1.20.1-FORGE-1.0.4.jar                                         | MCreator mod | campsite_structures                  | Campsite Structures                       | 1.0.4                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 71042123ef3cdc94cd4310b96df70c225ad18c32 | 2654210748     
cavedust-2.0.4-1.20.1-forge.jar                                                    |              | cavedust                             | Cave Dust                                 | 2.0.4                        | cavedust-common.mixins.json, cavedust.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                            | c18fba965e5dab309de5adf9e8fd7ee3253be7e9 | 1453994609     
chat_heads-0.15.6-forge-1.20.jar                                                   |              | chat_heads                           | Chat Heads                                | 0.15.6                       | chat_heads.forge.mixins.json, chat_heads.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                         | 8631b1054294797914077f29690678c37911494a | 832035171      
chatanimation-forge-1.3.0+mc1.20.1.jar                                             |              | chatanimation                        | ChatAnimation                             | 1.3.0                        | chatanimation.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | 88f6f48b3d18c8195b8de8313ad70c5ea6a64a22 | 2507371714     
Chimes-v2.1.1-1.20.1-Forge.jar                                                     |              | chimes                               | Chimes                                    | 2.1.1                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 16acabbde469a13d7d0bb348b5173785c81858f3 | 4103422154     
chloride-FORGE-mc1.20.1-v1.8.1.jar                                                 |              | chloride                             | Chloride                                  | 1.8.1                        | chloride.mixin.json, chloride.mixin-refmap.json                                                                                                                                                                                                                                                                                                                                                                                                                                              | b42ae912055a962aeae80b97f08ee3517542026a | 2849438660     
    /META-INF/jarjar/waterconfig-gamelib-1.0.0.2.jar                               |              |                                      |                                           |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
Chunky-1.3.146.jar                                                                 |              | chunky                               | Chunky                                    | 1.3.146                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 0b782d12b4ac3b03a94c28f32e9b2d5587d1dd50 | 4160167965     
citadel-2.6.3-1.20.1.jar                                                           |              | citadel                              | Citadel                                   | 2.6.3                        | citadel.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | fb0b1fa96ce28e4be77b38ad95d83c3da7ec8316 | 1762571121     
cleanswing-1.20-1.8.jar                                                            |              | cleanswing                           | Clean Swing Through Grass                 | 1.8                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | c128e24c47ab4a389b3868ff6913ee0631f254e8 | 2191402716     
clientcrafting-1.20.1-2.1.jar                                                      |              | clientcrafting                       | clientcrafting mod                        | 1.20.1-2.1                   | clientcrafting.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | 8305d002730b5a68364a3daa41d5a33bc7adb02d | 2969950490     
cloth-config-11.1.136-forge.jar                                                    |              | cloth_config                         | Cloth Config v10 API                      | 11.1.136                     |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | c65d07748acc57ceb45d53b3964368b84f34d54f | 635589968      
Clumps-forge-1.20.1-12.0.0.4.jar                                                   |              | clumps                               | Clumps                                    | 12.0.0.4                     | clumps.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 97cc669f68dbe812cb77cc3631339334fc28b877 | 1243520454     
collective-1.20.1-8.39.jar                                                         |              | collective                           | Collective                                | 8.39                         | collective_fabric.crop.mixins.json, collective_fabric.mixins.json, collective_forge.mixins.json                                                                                                                                                                                                                                                                                                                                                                                              | 4622cf120fd3eb82972dc6634d6a5910d04e3c91 | 2974885765     
comforts-forge-6.4.0+1.20.1.jar                                                    |              | comforts                             | Comforts                                  | 6.4.0+1.20.1                 | comforts.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | e7b9fe89566bb1ee013e33745f22f309f679536e | 940613798      
    /META-INF/jarjar/spectrelib-forge-0.13.15+1.20.1.jar                           |              | spectrelib                           | SpectreLib                                | 0.13.15+1.20.1               |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
configurableextramobdrops-1.20.1-3.7.jar                                           |              | configurableextramobdrops            | Configurable Extra Mob Drops              | 3.7                          | configurableextramobdrops_forge.mixins.json, configurableextramobdrops_fabric.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                    | f68c6dc464c2656dcb17b5fbb76f6ba9c7b6738a | 2795558887     
configured-forge-1.20.1-2.2.3.jar                                                  |              | configured                           | Configured                                | 2.2.3                        | configured.common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                | 065c2d287a52f52fc8d33d780192325ee6f4b6ae | 3251861014     
connectivity-1.20.1-7.6.jar                                                        |              | connectivity                         | Connectivity Mod                          | 1.20.1-7.6                   | connectivity.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | ae69a0712c73411a2d804eec7abce271529e273d | 2626029621     
Controlling-forge-1.20.1-12.0.2.jar                                                |              | controlling                          | Controlling                               | 12.0.2                       | controlling.mixins.json, controlling.forge.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                       | f6d3cdd3ec68c5590cf5b2e89c38dbf031824bfd | 2144346557     
cookyourfood--mc1.20.1--1.11.jar                                                   |              | cookyourfood                         | Cook your food                            | 1.11                         |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 52a21904e38374cd25ebcf0b27a5170e0c688712 | 2500699643     
coroutil-forge-1.20.1-1.3.7.jar                                                    |              | coroutil                             | CoroUtil                                  | 1.20.1-1.3.7                 | coroutil.mixins.json, coroutil_fabric.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                            | 7f5f0b62a638b6053c95919cbe8c2bea2e0c93d0 | 1380297823     
