Mods count: 222
 
                                     jar name                                      |    notes     |                mod id                |                 mod name                  |         mod version          |                                                                                                                                                                                                                                        mixin configs                                                                                                                                                                                                                                         |              modrinth hash               | curseforge hash
embeddium-0.3.31+mc1.20.1.jar                                                      |              | embeddium                            | Embeddium                                 | 0.3.31+mc1.20.1              | embeddium.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | bb2fa8f3e493af16af9160d049f96c614a1faf2f | 4281946638     
EnhancedVisuals_FORGE_v1.8.29_mc1.20.1.jar                                         |              | enhancedvisuals                      | EnhancedVisuals                           | 1.8.29                       | enhancedvisuals.mixins.json, enhancedvisuals.fabric.mixins.json, enhancedvisuals.mixin.refmap.json                                                                                                                                                                                                                                                                                                                                                                                           | 3142a5c96baba66f411c65b807163f55845661fd | 4287994114     
entity_model_features-3.2.4-1.20.1-forge.jar                                       |              | entity_model_features                | Entity Model Features                     | 3.2.4                        | entity_model_features.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                            | 535a94543d295f9609808a7e3e205d17547570bc | 2299176746     
entity_texture_features_1.20.1-forge-7.1.jar                                       |              | entity_texture_features              | Entity Texture Features                   | 7.1                          | entity_texture_features.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                          | e13ba95a0388d7d5b1f479e5bd7e2df78e4c4a23 | 1697260817     
entityculling-forge-1.10.5-mc1.20.1.jar                                            |              | entityculling                        | EntityCulling                             | 1.10.5                       | entityculling.mixins.json, entityculling.refmap.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                  | b818f6d792b79f4ec116c89704e70292bd6f72b5 | 4018169999     
    /META-INF/jars/TRansition-1.0.21-1.20.1-forge-SNAPSHOT.jar                     |              | transition                           | TRansition                                | 1.0.21                       | transition.mixins.json, transition.refmap.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                        |                                          |                
    /META-INF/jars/TRender-1.0.15-1.20.1-forge-SNAPSHOT.jar                        |              | trender                              | TRender                                   | 1.0.15                       | trender.mixins.json, trender.refmap.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
epicdeathscreen-forge-1.20.1-1.0.0.jar                                             |              | epicdeathscreen                      | Epic Death Screen                         | 1.0.0                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | e5adf65b2641b763b8b0cb38ecab48c426d799ed | 3281170667     
Essential_1-4-0-3_forge_1-20-1.jar                                                 |              | essential-container                  | Essential                                 |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 6fb933ddef6e3b921a695359174c44ec646b7340 | 350860608      
experimentalsettingsdisabler-1.20.1-3.0.jar                                        |              | experimentalsettingsdisabler         | Experimental Settings Disabler            | 3.0                          | experimentalsettingsdisabler.mixins.json, experimentalsettingsdisabler.mixins-refmap.json                                                                                                                                                                                                                                                                                                                                                                                                    | f03a753b276bbb1f17bc7050566a1bf9dbb0a74a | 3629377691     
exposure-1.20.1-1.7.16-forge.jar                                                   |              | exposure                             | Exposure                                  | 1.7.16                       | exposure.mixins.json, exposure-common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                            | b1ec92eeafdc97e88e0baacd5d89f4c1f89a4bbc | 652681066      
EyesInTheDarkness-1.20.1-1.3.10.jar                                                |              | eyesinthedarkness                    | Eyes in the Darkness                      | 1.3.10                       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 5e0998c09cac3200c488d84203fadab6f0120d94 | 2965990527     
fabric-api-0.92.6+1.11.14+1.20.1.jar                                               |              | fabric_api                           | Forgified Fabric API                      | 0.92.6+1.11.14+1.20.1        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 285c22b2567b9fdf98ef9808eceb5557de9611d3 | 4200970324     
    /META-INF/jarjar/fabric-transitive-access-wideners-v1-4.3.2+1880499877.jar     |              | fabric_transitive_access_wideners_v1 | Fabric Transitive Access Wideners (v1)    | 4.3.2+1880499877             |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
    /META-INF/jarjar/fabric-transfer-api-v1-3.3.6+631c9cd677.jar                   |              | fabric_transfer_api_v1               | Fabric Transfer API (v1)                  | 3.3.6+631c9cd677             | fabric-transfer-api-v1.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                           |                                          |                
    /META-INF/jarjar/fabric-sound-api-v1-1.0.14+4f23bd8477.jar                     |              | fabric_sound_api_v1                  | Fabric Sound API (v1)                     | 1.0.14+4f23bd8477            | fabric-sound-api-v1.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
    /META-INF/jarjar/fabric-screen-handler-api-v1-1.3.33+561530ec77.jar            |              | fabric_screen_handler_api_v1         | Fabric Screen Handler API (v1)            | 1.3.33+561530ec77            | fabric-screen-handler-api-v1.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                     |                                          |                
    /META-INF/jarjar/fabric-screen-api-v1-2.0.9+45a670a577.jar                     |              | fabric_screen_api_v1                 | Fabric Screen API (v1)                    | 2.0.9+45a670a577             | fabric-screen-api-v1.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                             |                                          |                
    /META-INF/jarjar/fabric-resource-loader-v0-0.11.12+4b4151c077.jar              |              | fabric_resource_loader_v0            | Fabric Resource Loader (v0)               | 0.11.12+4b4151c077           | fabric-resource-loader-v0.mixins.json, fabric-resource-loader-v0.client.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                          |                                          |                
    /META-INF/jarjar/fabric-resource-conditions-api-v1-2.3.9+996d00b277.jar        |              | fabric_resource_conditions_api_v1    | Fabric Resource Conditions API (v1)       | 2.3.9+996d00b277             | fabric-resource-conditions-api-v1.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                |                                          |                
    /META-INF/jarjar/fabric-rendering-v1-3.0.9+66e9a48f77.jar                      |              | fabric_rendering_v1                  | Fabric Rendering (v1)                     | 3.0.9+66e9a48f77             | fabric-rendering-v1.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
    /META-INF/jarjar/fabric-rendering-fluids-v1-3.0.29+4ac5e37a77.jar              |              | fabric_rendering_fluids_v1           | Fabric Rendering Fluids (v1)              | 3.0.29+4ac5e37a77            | fabric-rendering-fluids-v1.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                       |                                          |                
    /META-INF/jarjar/fabric-rendering-data-attachment-v1-0.3.39+a6081afc77.jar     |              | fabric_rendering_data_attachment_v1  | Fabric Rendering Data Attachment (v1)     | 0.3.39+a6081afc77            | fabric-rendering-data-attachment-v1.client.mixins.json, fabric-rendering-data-attachment-v1.mixins.json                                                                                                                                                                                                                                                                                                                                                                                      |                                          |                
    /META-INF/jarjar/fabric-renderer-indigo-1.5.3+b5b2da4177.jar                   |              | fabric_renderer_indigo               | Fabric Renderer - Indigo                  | 1.5.3+b5b2da4177             | fabric-renderer-indigo.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                           |                                          |                
    /META-INF/jarjar/fabric-renderer-api-v1-3.2.2+cf68abbe77.jar                   |              | fabric_renderer_api_v1               | Fabric Renderer API (v1)                  | 3.2.2+cf68abbe77             | fabric-renderer-api-v1.debughud.mixins.json, fabric-renderer-api-v1.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
    /META-INF/jarjar/fabric-registry-sync-v0-2.3.6+1c0ea72177.jar                  |              | fabric_registry_sync_v0              | Fabric Registry Sync (v0)                 | 2.3.6+1c0ea72177             | fabric-registry-sync-v0.mixins.json, fabric-registry-sync-v0.client.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
    /META-INF/jarjar/fabric-recipe-api-v1-1.0.24+514a076577.jar                    |              | fabric_recipe_api_v1                 | Fabric Recipe API (v1)                    | 1.0.24+514a076577            | fabric-recipe-api-v1.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                             |                                          |                
    /META-INF/jarjar/fabric-particles-v1-1.1.3+78e1ecb877.jar                      |              | fabric_particles_v1                  | Fabric Particles (v1)                     | 1.1.3+78e1ecb877             | fabric-particles-v1.client.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                       |                                          |                
    /META-INF/jarjar/fabric-object-builder-api-v1-11.1.5+f8c414ce77.jar            |              | fabric_object_builder_api_v1         | Fabric Object Builder API (v1)            | 11.1.5+f8c414ce77            | fabric-object-builder-v1.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                         |                                          |                
    /META-INF/jarjar/fabric-networking-api-v1-1.3.14+fb7c822677.jar                |              | fabric_networking_api_v1             | Fabric Networking API (v1)                | 1.3.14+fb7c822677            | fabric-networking-api-v1.mixins.json, fabric-networking-api-v1.client.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                            |                                          |                
    /META-INF/jarjar/fabric-models-v0-0.4.3+7c3892a477.jar                         |              | fabric_models_v0                     | Fabric Models (v0)                        | 0.4.3+7c3892a477             |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
    /META-INF/jarjar/fabric-model-loading-api-v1-1.0.4+6274ab9d77.jar              |              | fabric_model_loading_api_v1          | Fabric Model Loading API (v1)             | 1.0.4+6274ab9d77             | fabric-model-loading-api-v1.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                      |                                          |                
    /META-INF/jarjar/fabric-mining-level-api-v1-2.1.52+561530ec77.jar              |              | fabric_mining_level_api_v1           | Fabric Mining Level API (v1)              | 2.1.52+561530ec77            | fabric-mining-level-api-v1.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                       |                                          |                
    /META-INF/jarjar/fabric-message-api-v1-5.1.10+52cc178c77.jar                   |              | fabric_message_api_v1                | Fabric Message API (v1)                   | 5.1.10+52cc178c77            | fabric-message-api-v1.client.mixins.json, fabric-message-api-v1.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                  |                                          |                
    /META-INF/jarjar/fabric-loot-api-v2-1.2.3+eb28f93e77.jar                       |              | fabric_loot_api_v2                   | Fabric Loot API (v2)                      | 1.2.3+eb28f93e77             | fabric-loot-api-v2.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                               |                                          |                
    /META-INF/jarjar/fabric-loader-2.6.0+0.15.0+1.20.1-full.jar                    |              |                                      |                                           |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
    /META-INF/jarjar/fabric-lifecycle-events-v1-2.2.23+afab492177.jar              |              | fabric_lifecycle_events_v1           | Fabric Lifecycle Events (v1)              | 2.2.23+afab492177            | fabric-lifecycle-events-v1.client.mixins.json, fabric-lifecycle-events-v1.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                        |                                          |                
    /META-INF/jarjar/fabric-key-binding-api-v1-1.0.38+561530ec77.jar               |              | fabric_key_binding_api_v1            | Fabric Key Binding API (v1)               | 1.0.38+561530ec77            | fabric-key-binding-api-v1.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                        |                                          |                
    /META-INF/jarjar/fabric-item-group-api-v1-4.0.14+c9161c2d77.jar                |              | fabric_item_group_api_v1             | Fabric Item Group API (v1)                | 4.0.14+c9161c2d77            | fabric-item-group-api-v1.client.mixins.json, fabric-item-group-api-v1.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                            |                                          |                
    /META-INF/jarjar/fabric-item-api-v1-2.1.29+4d0bbcfa77.jar                      |              | fabric_item_api_v1                   | Fabric Item API (v1)                      | 2.1.29+4d0bbcfa77            | fabric-item-api-v1.client.mixins.json, fabric-item-api-v1.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                        |                                          |                
    /META-INF/jarjar/fabric-game-rule-api-v1-1.0.41+683d4da877.jar                 |              | fabric_game_rule_api_v1              | Fabric Game Rule API (v1)                 | 1.0.41+683d4da877            | fabric-game-rule-api-v1.mixins.json, fabric-game-rule-api-v1.client.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
    /META-INF/jarjar/fabric-events-interaction-v0-0.6.5+0f26153f77.jar             |              | fabric_events_interaction_v0         | Fabric Events Interaction (v0)            | 0.6.5+0f26153f77             | fabric-events-interaction-v0.client.mixins.json, fabric-events-interaction-v0.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                    |                                          |                
    /META-INF/jarjar/fabric-entity-events-v1-1.6.1+4ca7515277.jar                  |              | fabric_entity_events_v1              | Fabric Entity Events (v1)                 | 1.6.1+4ca7515277             | fabric-entity-events-v1.client.mixins.json, fabric-entity-events-v1.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
    /META-INF/jarjar/fabric-dimensions-v1-2.1.55+8005d10d77.jar                    |              | fabric_dimensions_v1                 | Fabric Dimensions API (v1)                | 2.1.55+8005d10d77            |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
    /META-INF/jarjar/fabric-data-generation-api-v1-12.3.7+369cb3a477.jar           |              | fabric_data_generation_api_v1        | Fabric Data Generation API (v1)           | 12.3.7+369cb3a477            | fabric-data-generation-api-v1.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                    |                                          |                
    /META-INF/jarjar/fabric-data-attachment-api-v1-1.0.2+30ef839e77.jar            |              | fabric_data_attachment_api_v1        | Fabric Data Attachment API (v1)           | 1.0.2+30ef839e77             | fabric-data-attachment-api-v1.mixins.json, fabric-data-attachment-api-v1.client.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                  |                                          |                
    /META-INF/jarjar/fabric-convention-tags-v1-1.5.6+fa3d1c0177.jar                |              | fabric_convention_tags_v1            | Fabric Convention Tags                    | 1.5.6+fa3d1c0177             |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
    /META-INF/jarjar/fabric-content-registries-v0-4.0.13+a670df1e77.jar            |              | fabric_content_registries_v0         | Fabric Content Registries (v0)            | 4.0.13+a670df1e77            | fabric-content-registries-v0.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                     |                                          |                
    /META-INF/jarjar/fabric-command-api-v2-2.2.14+561530ec77.jar                   |              | fabric_command_api_v2                | Fabric Command API (v2)                   | 2.2.14+561530ec77            | fabric-command-api-v2.mixins.json, fabric-command-api-v2.client.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                  |                                          |                
    /META-INF/jarjar/fabric-command-api-v1-1.2.35+f71b366f77.jar                   |              | fabric_command_api_v1                | Fabric Command API (v1)                   | 1.2.35+f71b366f77            |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
    /META-INF/jarjar/fabric-client-tags-api-v1-1.1.3+5d6761b877.jar                |              | fabric_client_tags_api_v1            | Fabric Client Tags                        | 1.1.3+5d6761b877             |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
    /META-INF/jarjar/fabric-blockrenderlayer-v1-1.1.42+1d0da21e77.jar              |              | fabric_blockrenderlayer_v1           | Fabric BlockRenderLayer Registration (v1) | 1.1.42+1d0da21e77            | fabric-blockrenderlayer-v1.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                       |                                          |                
    /META-INF/jarjar/fabric-block-view-api-v2-1.0.3+53347ba977.jar                 |              | fabric_block_view_api_v2             | Fabric BlockView API (v2)                 | 1.0.3+53347ba977             | fabric-block-view-api-v2.client.mixins.json, fabric-block-view-api-v2.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                            |                                          |                
    /META-INF/jarjar/fabric-block-api-v1-1.0.12+0e6cb7f777.jar                     |              | fabric_block_api_v1                  | Fabric Block API (v1)                     | 1.0.12+0e6cb7f777            |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
    /META-INF/jarjar/fabric-biome-api-v1-13.0.14+dc36698e77.jar                    |              | fabric_biome_api_v1                  | Fabric Biome API (v1)                     | 13.0.14+dc36698e77           | fabric-biome-api-v1.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
    /META-INF/jarjar/fabric-api-lookup-api-v1-1.6.37+67f9824077.jar                |              | fabric_api_lookup_api_v1             | Fabric API Lookup API (v1)                | 1.6.37+67f9824077            | fabric-api-lookup-api-v1.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                         |                                          |                
    /META-INF/jarjar/fabric-api-base-0.4.32+ef105b4977.jar                         |              | fabric_api_base                      | Fabric API Base                           | 0.4.32+ef105b4977            | fabric-api-base.init.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                             |                                          |                
FallingTree-1.20.1-4.3.4.jar                                                       |              | fallingtree                          | FallingTree                               | 4.3.4                        | fallingtree.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | 44d15ae2074b761597e8b8de5846cb2f98f64d25 | 3175903473     
fancymenu_forge_3.8.1_MC_1.20.1.jar                                                |              | fancymenu                            | FancyMenu                                 | 3.8.1                        | fancymenu.mixins.json, fancymenu.forge.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                           | 1fef1d8ab0dc2dec116bc6d6cb6f789fd33b23b0 | 3141943045     
    /META-INF/jarjar/animated-gif-lib-for-java-animated-gif-lib-1.7.jar            |              |                                      |                                           |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
